Time	Wifi	Oneplus5_duo	Video_call+charging	PUBG	Online_streamiing	Cellular_data
1	33.2	31.2	39	26	28	32
2	34.7	31.5	42	26.1	28.4	32.3
3	35.2	32.8	41.2	26.1	28.6	32.3
4	35.4	33.5	41.4	26.1	28.7	32.6
5	35.7	34.4	41.6	26.2	30	32.6
6	35.5	35.2	42	26.2	30.2	32.9
7	36.2	35.1	42.2	26.2	30.2	32.8
8	36	35.3	42.4	26.5	30.5	32.8
9	36	35.6	42.7	26.5	30.9	33.2
10	36.2	35.2	43.1	27	31	33.5
11	36.4	36.2	43.4	27.6	31.2	33.9
12	36.7	38.1	43.4	27.8	31.6	34.1
13	35.7	39.4	43.6	28.4	32	34.1
14	34.7	40.1	43.5	28.7	32.1	34.4
15	34	38.8	43.5	28.7	32.1	34.6
16	34.5	39	43.6	29	32.8	34.6
17	35	42	43.7	30.2	33.4	34.2
18	35.2	41.2	43.8	30.6	33.4	34.8
19	35.7	40.8	43.8	31.4	35	35.3
20	36	41.4	43.9	31.7	35.3	34.9
21	35.7	42.2	44	31.9	35.9	35.5
22	36	43.1	44	32.4	36.2	35.8
23	35.7	43.4	45.1	32.5	36.8	36.1
24	36.2	43.6	45.2	33.2	37.1	36.2
25	36.4	43.6	45.6	34.5	38.2	36.2
26	36.4	43.6	45.6	35	39	36
27	37	43.8	45.9	35.2	39.5	36.4
28	37.3	43.9	45.8	35.8	40.1	36.3
29	37	43.8	45.4	36.1	40.4	37
30	37.1	44	45.4	36.3	41.6	37.6
31	37.7	44.1	45.4	36.9	42.1	38.1
32	37.6	44.1	45.3	37.2	42.7	38
33	37.6	44.3	45.3	37.7	43.3	38.7
34	38.4	44.3	45.1	38.2	43.7	38
35	38.2	44.2	45.2	38.8	43.8	38.5
36	38	44.5	44.9	39.4	44	39.2
37	38	44.5	44.7	39.7	44.4	39.3
38	38.4	44.8	44.7	40.1	44.9	39.1
39	38.1	44.9	43.1	39.8	44.9	40.1
40	37.9	44.9	43.1	39.6	45	40
41	37.9	45	42.5	39.4	45.3	40.6
42	37.6	45.1	41.8	40.3	45.4	40.9
43	37.6	44.9	41.8	40.4	45.4	40.9
44	37.1	44.7	41.2	40.8	46.1	41.3
45	37.1	44.7	40.8	41.4	46.5	41.2
46	37	43	40.7	41.9	46.5	41.5
47	36.7	43.2	40.7	42.5	46.8	42.2
48	36.6	43.1	40.1	43.1	47.1	42.4
49	36.6	43.3	38.7	43.5	47.5	42.7
50	36.6	43.3	38	44.2	47.7	42.8
51	36.8	43.2	37	44.9	47.7	42.8
52	36.8	43.4	37	46	48.2	43.6
53	35.9	43.4	36.2	46.5	48.3	43.6
54	35.9	43.1	35.8	46	48.2	43.1
55	36	43	35.7	45.4	48.6	43.9
56	36.1	38.5	35.7	44.9	49.1	44.4
57	36	38.3	34.5	44.1	49.4	44.1
58	36.2	38.6	34.3	44.2	49.5	44.5
59	36.3	38.7	34.3	44.2	49.7	44.9
60	36.3	39	34.3	43.9	49.5	44.9
61	36.3	39.3	34	43.9	49.3	44.8
62	36	39.3	34.2	43.9	49.3	45.3
63	36.1	39.5	34.2	43.4	49.2	45.1
64	36	39.7	34.1	43	49.2	45.7
65	36	39.6	34.1	42.9	49	47